不明,18,1
地方1-1,9999999,1
地方2-1,9999999,2
地方3-1,9999999,3
地方3-2,9999999,4
地方3-3,9999999,5
地方4-1,9999999,6
地方4-2,9999999,7
地方4-3,9999999,8
地方4-4,9999999,9
地方5-1,9999999,10
ピエモンテ,3,21
北海道,16,233
"山形県,上山市",17,233
長野県,12,233
トレンティーノ＝アルト・アディジェ,4,21
山梨県,10,233
"ラングドック・ルシヨン,ピレネー＝オリアンタル,ペルピニャン,Languedoc",6,168
"アキテーヌ,ジロンド,ボルドー",19,168
"北海道,函館市",7,233
"アルザス,オーラン,フランカン",13,168
ロンバルディア,5,21
"イングランド,ウィルトシャー,マールバラ,マールボロー",14,68
"ネブラスカ,クレイ,インランド,インランド",8,6
カリフォルニア,9,6
栃木県,20,233
"モスクワ,モスクワ,モスクワ",2,222
"ホーフハイム・アム・タウヌス,ラインガウ通り",11,124
"ボルショド アバウーイ ゼンプレーン,Tokaji,トカイ",1,157
"天津市,天津",15,226
沖縄県,9999999,233
